timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516055252302,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-1,text,false,,1174,0,1,1,0,0,0
1516055252307,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-1,text,false,,1183,0,1,1,0,0,0
1516055252456,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-2,text,false,,1174,0,1,1,0,0,0
1516055252457,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-2,text,false,,1183,0,1,1,0,0,0
1516055252664,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-3,text,false,,1174,0,1,1,0,0,0
1516055252665,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-3,text,false,,1183,0,1,1,0,0,0
1516055252867,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-4,text,false,,1174,0,1,1,0,0,0
1516055252868,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-4,text,false,,1183,0,1,1,0,0,0
1516055253055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-5,text,false,,1174,0,1,1,0,0,0
1516055253055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-5,text,false,,1183,0,1,1,0,0,0
1516055253258,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-6,text,false,,1174,0,1,1,0,0,0
1516055253258,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-6,text,false,,1183,0,1,1,0,0,0
1516055253454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-7,text,false,,1174,0,1,1,0,0,0
1516055253455,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-7,text,false,,1183,0,1,1,0,0,0
1516055253654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-8,text,false,,1174,0,1,1,0,0,0
1516055253654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-8,text,false,,1183,0,1,1,0,0,0
1516055253854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-9,text,false,,1174,0,1,1,0,0,0
1516055253855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-9,text,false,,1183,0,1,1,0,0,0
1516055254054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-10,text,false,,1174,0,1,1,0,0,0
1516055254055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-10,text,false,,1183,0,1,1,0,0,0
1516055254254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-11,text,false,,1174,0,1,1,0,0,0
1516055254254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-11,text,false,,1183,0,1,1,0,0,0
1516055254454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-12,text,false,,1174,0,1,1,0,0,0
1516055254454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-12,text,false,,1183,0,1,1,0,0,0
1516055254654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-13,text,false,,1174,0,1,1,0,0,0
1516055254654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-13,text,false,,1183,0,1,1,0,0,0
1516055254854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-14,text,false,,1174,0,1,1,0,0,0
1516055254855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-14,text,false,,1183,0,1,1,0,0,0
1516055255055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-15,text,false,,1174,0,1,1,0,0,0
1516055255055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-15,text,false,,1183,0,1,1,0,0,0
1516055255254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-16,text,false,,1174,0,1,1,0,0,0
1516055255254,1,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-16,text,false,,1183,0,1,1,0,0,0
1516055255454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-17,text,false,,1174,0,1,1,0,0,0
1516055255455,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-17,text,false,,1183,0,1,1,0,0,0
